연월일,시분초,온도,습도,강수량,풍향
2023-06-29,12:45:38,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:45:44,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:45:49,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:45:54,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:45:59,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:04,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:10,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:15,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:20,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
2023-06-29,12:46:25,27℃,습도69%,강수량0.0mm,풍향 동 1.1 m/s
